county_city,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
".Galax City, Virginia","7,042","6,989","6,844","6,850","6,927","6,892","6,791","6,615","6,477","6,300","6,324","6,720","6,660"
".Giles County, Virginia","17,286","17,317","17,152","17,024","16,992","16,853","16,768","16,855","16,759","16,829","16,693","16,787","16,562"
".Gloucester County, Virginia","36,858","36,942","36,897","36,849","36,780","37,038","37,032","37,121","37,332","37,398","37,499","38,711","39,069"
".Goochland County, Virginia","21,717","21,906","21,537","21,438","21,732","22,020","22,344","22,665","22,893","23,423","23,949","24,727","25,488"
".Grayson County, Virginia","15,533","15,500","15,368","15,146","15,131","15,925","15,960","15,870","15,699","15,621","15,574","15,333","15,359"
".Greene County, Virginia","18,403","18,480","18,694","18,831","18,874","19,131","19,205","19,313","19,608","19,719","19,901","20,552","20,968"
".Greensville County, Virginia","12,243","12,233","12,001","11,746","11,690","11,568","11,792","11,515","11,552","11,380","11,289","11,391","11,437"
".Halifax County, Virginia","36,241","36,204","35,997","35,740","35,389","35,205","35,104","35,003","34,592","34,212","34,035","34,022","33,738"
".Hampton City, Virginia","137,436","137,418","136,652","137,222","137,406","137,778","136,379","135,525","135,007","134,800","135,048","137,148","137,746"
".Hanover County, Virginia","99,863","99,886","99,899","100,340","101,075","101,740","103,095","104,345","105,729","106,821","107,535","109,979","111,603"
".Harrisonburg City, Virginia","48,914","48,999","49,950","51,336","51,572","52,589","52,739","53,685","53,807","53,715","53,379","51,814","51,430"
".Henrico County, Virginia","306,935","307,201","310,401","315,575","318,646","321,863","324,424","326,178","328,008","329,917","332,513","334,389","333,554"
".Henry County, Virginia","54,151","54,102","53,530","53,098","52,738","52,235","51,944","51,654","51,370","51,101","50,724","50,948","50,248"
".Highland County, Virginia","2,321","2,297","2,260","2,234","2,205","2,238","2,196","2,213","2,215","2,206","2,176","2,232","2,226"
".Hopewell City, Virginia","22,591","22,640","22,500","22,306","22,161","22,117","22,241","22,565","22,533","22,506","22,523","23,033","23,140"
".Isle of Wight County, Virginia","35,270","35,319","35,301","35,352","35,542","35,887","36,185","36,450","36,758","37,203","37,400","38,606","39,278"
".James City County, Virginia","67,009","67,681","68,339","69,460","70,674","72,145","72,920","74,075","75,429","76,206","76,838","78,254","79,882"
".King and Queen County, Virginia","6,945","6,976","6,986","7,008","7,029","7,084","7,089","7,059","7,010","7,033","7,011","6,608","6,662"
".King George County, Virginia","23,584","23,697","24,277","24,615","24,909","25,284","25,442","25,982","26,379","26,673","26,981","26,723","27,489"
".King William County, Virginia","15,935","15,999","16,013","15,977","16,096","16,153","16,287","16,416","16,706","16,962","17,198","17,810","18,171"
".Lancaster County, Virginia","11,391","11,362","11,276","11,125","10,960","10,863","10,828","10,776","10,724","10,692","10,619","10,919","10,928"
".Lee County, Virginia","25,587","25,606","25,546","25,433","25,094","24,744","24,624","24,198","23,934","23,703","23,540","22,173","21,983"
".Lexington City, Virginia","7,042","7,045","6,977","7,027","7,155","7,135","7,174","7,158","7,139","7,201","7,246","7,320","7,456"
".Loudoun County, Virginia","312,311","315,486","326,357","337,902","350,001","362,330","374,176","385,750","397,192","405,964","414,872","420,959","427,592"
".Louisa County, Virginia","33,153","33,169","33,325","33,357","33,850","34,173","34,475","35,202","35,803","36,656","37,477","37,596","38,848"
".Lunenburg County, Virginia","12,914","12,909","12,907","12,639","12,534","12,480","12,348","12,340","12,353","12,257","12,251","11,936","11,926"
".Lynchburg City, Virginia","75,568","75,553","76,614","77,326","78,015","78,242","79,263","79,871","80,567","81,096","81,753","79,009","79,009"
".Madison County, Virginia","13,308","13,299","13,142","13,135","13,093","13,034","13,054","13,097","13,218","13,198","13,213","13,837","13,942"
".Manassas City, Virginia","37,821","38,212","39,103","40,284","41,079","41,137","41,409","41,245","41,171","40,998","40,907","42,772","42,708"
".Manassas Park City, Virginia","14,273","14,451","15,071","15,404","15,903","15,926","16,145","16,420","17,209","18,038","18,071","17,219","17,002"
".Martinsville City, Virginia","13,821","13,786","13,622","13,518","13,443","13,343","13,289","13,027","12,827","12,576","12,443","13,485","13,517"
".Mathews County, Virginia","8,978","8,974","8,944","8,911","8,899","8,813","8,833","8,781","8,704","8,766","8,782","8,533","8,546"
".Mecklenburg County, Virginia","32,727","32,716","32,567","31,698","31,249","31,117","30,934","30,815","30,705","30,707","30,723","30,319","30,248"
".Middlesex County, Virginia","10,959","10,981","10,855","10,851","10,781","10,653","10,683","10,750","10,614","10,717","10,561","10,625","10,781"
